1,青岛海信网络科技股份有限公司,青岛市领军软件企业,新一代信息技术产业,36.0712,120.417
2,青岛东软载波科技股份有限公司,青岛市领军软件企业,新一代信息技术产业,36.0731,120.359
3,青岛鼎信通讯股份有限公司,青岛市领军软件企业,新一代信息技术产业,36.0763,120.415
4,中电科二十二所（青岛）天博信息科技公司,青岛市领军软件企业,新一代信息技术产业,,
5,青岛以太科技股份有限公司,青岛市领军软件企业,新一代信息技术产业,36.0763,120.415
6,青岛鲁诺电子科技有限公司,青岛市领军软件企业,新一代信息技术产业,36.0738,120.359
7,青岛航天信息有限公司,青岛市领军软件企业,新一代信息技术产业,36.1411,120.402
8,青岛民航凯亚系统集成有限公司,青岛市领军软件企业,新一代信息技术产业,36.2724,120.4
9,青岛百灵信息科技股份有限公司,青岛市领军软件企业,新一代信息技术产业,36.139,120.395
10,容大高科软件股份有限公司,青岛市领军软件企业,新一代信息技术产业,,
11,青岛龙泰天翔通信科技有限公司,青岛市高新技术企业,新一代信息技术产业,36.062,120.126
12,青岛浩海网络科技股份有限公司,青岛市高新技术企业,新一代信息技术产业,36.0822,120.333
13,青岛杰瑞自动化有限公司,青岛市高新技术企业,高端装备,36.136,120.44
14,青岛赛瑞达电子装备股份有限公司,青岛市高新技术企业,高端装备,36.1724,120.429
15,青岛松本包装机械有限公司,青岛市高新技术企业,高端装备,36.2404,120.438
16,青岛澳科仪器有限责任公司,青岛市高新技术企业,高端装备,36.0766,120.325
17,青岛泰德汽车轴承股份有限公司,青岛市高新技术企业,高端装备,36.1834,120.398
18,青岛新大成塑料机械有限公司,青岛市高新技术企业,高端装备,36.3494,120.001
19,山东英吉多健康产业有限公司,青岛市高新技术企业,医养健康,36.3204,120.362
20,青岛高科技工业园海博生物技术有限公司,青岛市高新技术企业,现代高效农业,36.0948,120.469
21,青岛盛邦慧通能源科技有限公司,青岛市高新技术企业,新能源新材料,36.7855,120.003
22,青岛鑫源环保设备工程有限公司,青岛市高新技术企业,高端装备,36.3279,120.278
